month,store_id,product_id,sales_quantity,sales_value,discount
01/01/2021,1,1,221,427.856,56.42
01/01/2021,1,3,370,1120.36,4.05
01/01/2021,9,1,18,34.848,5.164
01/01/2021,9,3,7,21.196,0
01/01/2021,10,1,344,665.984,100.548
01/01/2021,10,3,570,1725.96,0
01/01/2021,3,1,280,542.08,49.93
01/01/2021,11,1,16,30.976,4.166
01/01/2021,4,1,122,236.192,30.434
01/01/2021,12,1,13,25.168,4.166
01/01/2021,5,1,19,36.784,8.036
01/01/2021,13,1,63,121.968,17.562
01/01/2021,6,1,60,116.16,24.042
01/01/2021,7,1,82,158.752,17.794
01/01/2021,15,1,876,1695.936,131.976
01/01/2021,8,1,59,114.224,13.32
01/01/2021,20,1,10,19.36,2.604
01/01/2021,16,1,50,96.8,12.444
01/01/2021,17,1,5,9.68,1.302
01/01/2021,18,1,109,211.024,16.324
01/01/2021,19,1,51,98.736,10.572
01/01/2021,11,3,10,30.28,0
01/01/2021,13,3,49,148.372,0
01/01/2021,3,3,488,1477.664,3.036
01/01/2021,14,3,37,112.036,0
01/01/2021,15,3,932,2822.096,0
01/01/2021,4,3,339,1026.492,2.024
01/01/2021,20,3,14,42.392,0
01/01/2021,5,3,197,596.516,0
01/01/2021,6,3,384,1162.752,240.69
01/01/2021,16,3,35,105.98,0
01/01/2021,17,3,5,15.14,0
01/01/2021,7,3,119,360.332,0
01/01/2021,8,3,52,157.456,0.742
01/01/2021,19,3,8,24.224,0
01/01/2021,1,4,1769,3046.218,353.43
01/01/2021,9,4,330,568.26,88.902
01/01/2021,10,4,6040,10400.88,1578.892
01/01/2021,11,4,426,733.572,82.284
01/01/2021,12,4,207,356.454,53.998
01/01/2021,13,4,1191,2050.902,311.06
01/01/2021,3,4,1548,2665.656,226.244
01/01/2021,15,4,10590,18235.98,1363.646
01/01/2021,4,4,1506,2593.332,328.972
01/01/2021,20,4,100,172.2,23.142
01/01/2021,5,4,5654,9736.188,2133.82
01/01/2021,6,4,1440,2479.68,513.288
01/01/2021,16,4,537,924.714,116.264
01/01/2021,17,4,82,141.204,19.168
01/01/2021,7,4,708,1219.176,137.528
01/01/2021,18,4,770,1325.94,106.946
01/01/2021,8,4,761,1310.442,183.854
01/01/2021,19,4,95,163.59,17.202
01/01/2021,1,5,7857,13105.476,715.806
01/01/2021,9,5,216,360.288,26.424
01/01/2021,10,5,20846,34771.128,2755.936
01/01/2021,11,5,544,907.392,0
01/01/2021,12,5,845,1409.46,114.298
01/01/2021,13,5,4502,7509.336,604.86
01/01/2021,3,5,6580,10975.44,614.722
01/01/2021,14,5,118,196.824,0
01/01/2021,15,5,50110,83583.48,3491.542
01/01/2021,4,5,4258,7102.344,545.77
01/01/2021,20,5,41,68.388,2.778
01/01/2021,5,5,13561,22619.748,1819.032
01/01/2021,6,5,10638,17744.184,817.318
01/01/2021,16,5,1706,2845.608,195.7
01/01/2021,17,5,1400,2335.2,166.656
01/01/2021,7,5,2558,4266.744,355.256
01/01/2021,18,5,3244,5410.992,282.606
01/01/2021,8,5,2251,3754.668,316.902
01/01/2021,19,5,717,1195.956,64.8
01/01/2021,1,6,26980,82612.76,5726.198
01/01/2021,9,6,1437,4400.094,320.534
01/01/2021,10,6,91753,280947.686,21659.34
01/01/2021,11,6,2366,7244.692,0
01/01/2021,12,6,2194,6718.028,559.56
01/01/2021,13,6,6938,21244.156,1623.436
01/01/2021,3,6,20646,63218.052,3516.46
01/01/2021,14,6,1261,3861.182,0
01/01/2021,15,6,121899,373254.738,15624.494
01/01/2021,4,6,25736,78803.632,6043.478
01/01/2021,20,6,221,676.702,24.192
01/01/2021,5,6,28302,86660.724,6495.888
01/01/2021,6,6,23276,71271.112,4629.744
01/01/2021,16,6,6526,19982.612,1214.198
01/01/2021,17,6,3764,11525.368,844.3
01/01/2021,7,6,9321,28540.902,2044.324
01/01/2021,18,6,13102,40118.324,2940.566
01/01/2021,8,6,8433,25821.846,1867.296
